sensorAddress,type,timestamp,gyro_x,accel_z,gyro_y,accel_y,gyro_z,accel_x,dataTrusted,earthquake,moving
1208272118,AccelGyro,2014-02-06T15:25:21.8100191Z,-47,12247,-391,-12095,156,-507,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:20.6999081Z,-44,12304,-399,-12077,139,-510,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:19.5947976Z,-42,12240,-400,-12110,141,-484,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:18.478686Z,-52,12304,-402,-12124,105,-501,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:17.3765758Z,-48,12301,-398,-12076,152,-493,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:16.2794661Z,-49,12254,-393,-12063,182,-513,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:15.1563538Z,-54,12309,-402,-12085,130,-509,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:14.0522434Z,-53,12243,-375,-12050,247,-513,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:12.9341316Z,-50,12243,-379,-12018,248,-516,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:11.8270209Z,-46,12253,-392,-12061,180,-508,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:10.7329115Z,-51,12240,-380,-12077,271,-487,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:09.6348017Z,-50,12221,-385,-12009,237,-506,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:08.5306913Z,-35,12230,-412,-11946,16,-524,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:07.397578Z,-47,12233,-388,-12011,210,-511,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:06.2954678Z,-38,12251,-395,-12017,118,-513,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:05.177356Z,-44,12245,-386,-11999,207,-514,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:04.0822465Z,-48,12246,-389,-11998,221,-512,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:02.9851368Z,-39,12249,-395,-11981,140,-521,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:01.8490232Z,-42,12225,-390,-11975,168,-486,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:25:00.756914Z,-43,12230,-397,-11986,121,-512,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:59.626801Z,-34,12238,-400,-11985,75,-506,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:58.5296913Z,-43,12260,-396,-11994,142,-507,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:57.4185802Z,-43,12211,-391,-11967,113,-517,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:56.3024686Z,-37,12241,-394,-11981,122,-533,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:55.2103594Z,-35,12232,-400,-11997,80,-531,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:54.1142498Z,-40,12196,-396,-11959,97,-532,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:52.9881372Z,-40,12226,-394,-11996,128,-538,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:51.8710255Z,-34,12221,-412,-11992,17,-549,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:50.7769161Z,-39,12189,-397,-12000,104,-518,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:49.6638048Z,-30,12218,-402,-12012,40,-518,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:48.5476932Z,-33,12212,-405,-11980,49,-526,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:47.4625847Z,-32,12254,-404,-11999,35,-532,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:46.325471Z,-42,12222,-409,-11995,33,-514,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:45.2313616Z,-40,12239,-402,-12017,41,-530,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:44.1372522Z,-33,12247,-415,-12032,-45,-502,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:43.0111396Z,-37,12227,-413,-12016,-1,-530,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:41.9180303Z,-43,12283,-415,-12032,-13,-512,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:40.794918Z,-38,12252,-416,-12069,-30,-513,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:39.674806Z,-40,12254,-410,-12032,11,-531,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:38.5826968Z,-41,12277,-411,-12065,-20,-505,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:37.4835869Z,-35,12259,-404,-12082,20,-492,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:36.3464732Z,-41,12280,-416,-12105,-7,-495,TRUE,0,0
1208272118,AccelGyro,2014-02-06T15:24:35.2423628Z,-38,12291,-414,-12079,-21,-511,TRUE,0,0
